Fecha y Hora,Acción,Precio (CLP),Volumen,Monto
2024-12-21 03:42:42,ARTYCL,"36.850,00",216,7.960
2024-12-21 03:42:42,CUPRUM,"61,91",110.732,6.409
2024-12-21 03:42:42,ENJOY,"0,27",32.268.279,8.679
2024-12-21 03:42:42,LLYCL,"784.150,00",266,208.750
2024-12-21 03:42:42,EWZ,"28,20",115,3
2024-12-21 03:42:42,AAISA,"200,00",162.494,32.375
2024-12-21 03:42:42,ECL,"897,99",3.669.976,3.254.854
2024-12-21 03:42:42,NVDA,"133,65",151,20
2024-12-21 03:42:42,ANDINA-A,"2.309,10",27.574,63.029
2024-12-21 03:42:42,QUINENCO,"3.149,00",548.007,1.695.286
2024-12-21 03:42:42,SECURITY,"261,98",3.030.790,790.032
2024-12-21 03:42:42,ENELCHILE,"57,57",131.509.126,7.543.157
2024-12-21 03:42:42,AGUAS-A,"293,50",18.382.979,5.398.178
2024-12-21 03:42:42,LTM,"13,78",794.391.801,10.906.615
2024-12-21 03:42:42,SQM-B,"37.593,00",958.986,35.859.235
2024-12-21 03:42:43,BSANTANDER,"47,40",164.033.531,7.746.783
2024-12-21 03:42:43,CHILE,"112,81",113.663.027,12.806.807
2024-12-21 03:42:43,BCI,"28.390,00",196.817,5.586.998
2024-12-21 03:42:43,CONCHATORO,"1.109,00",4.624.538,5.130.680
2024-12-21 03:42:43,FALABELLA,"3.461,00",30.050.986,105.655.759
2024-12-21 03:42:43,MALLPLAZA,"1.650,00",25.596.435,42.202.969
2024-12-21 03:42:43,CAP,"5.160,80",348.760,1.806.790
2024-12-21 03:42:43,CENCOSUD,"2.150,00",4.307.955,9.297.222
2024-12-21 03:42:43,VAPORES,"53,74",94.744.133,5.120.159
2024-12-21 03:42:43,IVVCL,"591.400,00",22,13.003
2024-12-21 03:42:43,NORTEGRAN,"5,70",32.518.418,185.355
2024-12-21 03:42:43,INVERCAP,"1.568,60",6.069,9.543
2024-12-21 03:42:43,VSPT,"4,00",8.175.000,32.708
2024-12-21 03:42:43,CINTAC,"53,50",206.468,11.057
2024-12-21 03:42:43,TSLACL,"426.405,00",388,164.295
2024-12-21 03:42:43,IBIT,"54,30",5.804,315
2024-12-21 03:43:14,ARTYCL,"36.850,00",216,7.960
2024-12-21 03:43:14,CUPRUM,"61,91",110.732,6.409
2024-12-21 03:43:14,ENJOY,"0,27",32.268.279,8.679
2024-12-21 03:43:14,LLYCL,"784.150,00",266,208.750
2024-12-21 03:43:14,EWZ,"28,20",115,3
2024-12-21 03:43:14,AAISA,"200,00",162.494,32.375
2024-12-21 03:43:14,ECL,"897,99",3.669.976,3.254.854
2024-12-21 03:43:14,NVDA,"133,65",151,20
2024-12-21 03:43:14,ANDINA-A,"2.309,10",27.574,63.029
2024-12-21 03:43:15,QUINENCO,"3.149,00",548.007,1.695.286
2024-12-21 03:43:15,SECURITY,"261,98",3.030.790,790.032
2024-12-21 03:43:15,ENELCHILE,"57,57",131.509.126,7.543.157
2024-12-21 03:43:15,AGUAS-A,"293,50",18.382.979,5.398.178
2024-12-21 03:43:15,LTM,"13,78",794.391.801,10.906.615
2024-12-21 03:43:15,SQM-B,"37.593,00",958.986,35.859.235
2024-12-21 03:43:15,BSANTANDER,"47,40",164.033.531,7.746.783
2024-12-21 03:43:15,CHILE,"112,81",113.663.027,12.806.807
2024-12-21 03:43:15,BCI,"28.390,00",196.817,5.586.998
2024-12-21 03:43:15,CONCHATORO,"1.109,00",4.624.538,5.130.680
2024-12-21 03:43:15,FALABELLA,"3.461,00",30.050.986,105.655.759
2024-12-21 03:43:15,MALLPLAZA,"1.650,00",25.596.435,42.202.969
2024-12-21 03:43:15,CAP,"5.160,80",348.760,1.806.790
2024-12-21 03:43:15,CENCOSUD,"2.150,00",4.307.955,9.297.222
2024-12-21 03:43:15,VAPORES,"53,74",94.744.133,5.120.159
2024-12-21 03:43:15,IVVCL,"591.400,00",22,13.003
2024-12-21 03:43:15,NORTEGRAN,"5,70",32.518.418,185.355
2024-12-21 03:43:15,INVERCAP,"1.568,60",6.069,9.543
2024-12-21 03:43:15,VSPT,"4,00",8.175.000,32.708
2024-12-21 03:43:15,CINTAC,"53,50",206.468,11.057
2024-12-21 03:43:15,TSLACL,"426.405,00",388,164.295
2024-12-21 03:43:15,IBIT,"54,30",5.804,315
2024-12-21 03:43:46,ARTYCL,"36.850,00",216,7.960
2024-12-21 03:43:47,CUPRUM,"61,91",110.732,6.409
2024-12-21 03:43:47,ENJOY,"0,27",32.268.279,8.679
2024-12-21 03:43:47,LLYCL,"784.150,00",266,208.750
2024-12-21 03:43:47,EWZ,"28,20",115,3
2024-12-21 03:43:47,AAISA,"200,00",162.494,32.375
2024-12-21 03:43:47,ECL,"897,99",3.669.976,3.254.854
2024-12-21 03:43:47,NVDA,"133,65",151,20
2024-12-21 03:43:47,ANDINA-A,"2.309,10",27.574,63.029
2024-12-21 03:43:47,QUINENCO,"3.149,00",548.007,1.695.286
2024-12-21 03:43:47,SECURITY,"261,98",3.030.790,790.032
2024-12-21 03:43:47,ENELCHILE,"57,57",131.509.126,7.543.157
2024-12-21 03:43:47,AGUAS-A,"293,50",18.382.979,5.398.178
2024-12-21 03:43:47,LTM,"13,78",794.391.801,10.906.615
2024-12-21 03:43:47,SQM-B,"37.593,00",958.986,35.859.235
2024-12-21 03:43:47,BSANTANDER,"47,40",164.033.531,7.746.783
2024-12-21 03:43:47,CHILE,"112,81",113.663.027,12.806.807
2024-12-21 03:43:47,BCI,"28.390,00",196.817,5.586.998
