Fecha y Hora,Acción,Precio (CLP),Volumen,Monto
2024-12-27 20:12:39,TECB,"53,93",170,9
2024-12-27 20:12:39,CGE,"358,23",35.639,12.567
2024-12-27 20:12:39,GOOGCL,"192.853,00",43,8.293
2024-12-27 20:12:39,QUAL,"180,00",51,9
2024-12-27 20:12:39,IANSA,"25,21",352.897,8.845
2024-12-27 20:12:39,CENCOMALLS,"1.556,00",929.366,1.446.946
2024-12-27 20:12:39,ANDINA-A,"2.399,20",101.997,243.042
2024-12-27 20:12:39,QUINENCO,"3.260,00",492.622,1.584.299
2024-12-27 20:12:39,LAS CONDES,"11.055,00",2.952,32.391
2024-12-27 20:12:40,SALFACORP,"563,00",882.564,491.530
2024-12-27 20:12:40,EMBONOR-B,"1.198,50",50.220,60.174
2024-12-27 20:12:40,VAPORES,"53,50",36.161.800,1.934.383
2024-12-27 20:12:40,CENCOSUD,"2.200,00",1.501.323,3.302.612
2024-12-27 20:12:40,FALABELLA,"3.475,00",1.250.424,4.347.274
2024-12-27 20:12:40,SQM-B,"36.948,00",136.496,5.055.295
2024-12-27 20:12:40,CCU,"5.760,00",376.812,2.175.226
2024-12-27 20:12:40,CHILE,"113,00",56.725.892,6.428.152
2024-12-27 20:12:40,BSANTANDER,"47,30",51.010.744,2.413.192
2024-12-27 20:12:40,ENELCHILE,"57,00",59.961.282,3.417.656
2024-12-27 20:12:40,LTM,"13,68",170.521.783,2.341.735
2024-12-27 20:12:40,ENELAM,"87,00",29.659.447,2.583.579
2024-12-27 20:12:40,ORO BLANCO,"4,15",903.919.043,3.751.266
2024-12-27 20:12:40,MASISA,"13,66",2.580.344,35.401
2024-12-27 20:12:40,AMZNCL,"221.628,00",592,130.676
2024-12-27 20:12:40,MSFTCL,"426.081,00",288,122.805
2024-12-27 20:12:40,IYW,"161,61",53,9
2024-12-27 20:12:40,ABC,"9,19",2.195.554,20.142
2024-12-27 20:12:40,PARAUCO,"1.556,50",861.026,1.349.821
2024-12-27 20:12:40,NVDACL,"134.230,00",1.656,223.647
2024-12-27 20:12:40,TSLACL,"432.337,00",221,95.722
2024-12-27 20:12:40,PFECL,"26.500,00",317,8.400
2024-12-27 20:12:40,FOSFOROS,"450,00",227.016,102.157
2024-12-27 20:12:40,ENJOY,"0,25",196.850.815,48.585
